run_id,run_date,started_at,finished_at,pipeline_status,account,script,status,exit_code,timestamp,error
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Associated Cab,ac_pull.py,pass,0,2026-07-22T19:09:19.507429,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Blueline,bl_pull.py,pass,0,2026-07-22T19:12:37.031429,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Britelift,britelift_pull.py,pass,0,2026-07-22T19:02:09.408219,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Britelift Chat,britelift_pull.py,pass,0,2026-07-22T19:02:30.982412,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Build,dashboard.py,pass,0,2026-07-22T19:23:53.216152,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,C&H,ch_pull.py,pass,0,2026-07-22T19:07:03.825276,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Circle Taxi,ct_pull.py,pass,0,2026-07-22T19:10:16.293380,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Coaching,asana_pull.py,pass,0,2026-07-22T19:00:40.560788,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,DMG,dmg_pull.py,pass,0,2026-07-22T19:01:18.032816,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Data Carz,dc_pull.py,pass,0,2026-07-22T19:08:44.122086,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Git Push,git push,pass,0,2026-07-22T19:24:13.106229,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Hamilton,Hamilton_pull.py,pass,0,2026-07-22T19:03:56.526093,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,Kelowna,kel_pull.py,pass,0,2026-07-22T19:11:14.575833,
2026-07-22T19:00:01,2026-07-22,2026-07-22T19:00:01.881525,2026-07-22T19:24:31.167808,success,M7,m7_pull.py,pass,0,2026-07-22T19:01:01.208905,
